real,pausality,lexical_density,readability,adjective_count
0,5.37,0.99,7.17,9
0,6.12,0.97,9.98,8
0,6.57,0.99,11.28,9
0,4.18,0.98,8.11,6
0,5.22,0.97,9.70,11
0,6.87,0.99,10.39,8
0,6.57,0.99,9.77,7
0,5.37,0.99,11.03,6
0,4.93,0.99,11.22,16
0,4.93,0.99,8.08,11
0,6.57,0.99,10.84,8
0,5.07,0.99,8.53,11
1,7.91,0.99,6.91,10
1,15.82,0.98,9.66,29
1,14.48,0.99,7.04,20
1,4.18,0.99,8.91,6
1,4.78,0.99,11.38,6
1,2.24,0.97,10.84,4
1,11.04,0.98,9.73,17
1,8.51,0.99,8.40,14
1,2.84,0.97,10.28,4
1,4.33,0.98,7.41,7
1,3.58,0.99,8.94,8
1,3.28,0.98,10.56,5
0,3.43,0.98,9.91,8
0,3.58,0.98,8.32,7
0,4.78,0.98,8.13,10
0,3.28,0.98,7.99,6
0,3.73,0.98,7.96,5
1,8.96,0.99,9.43,20
1,6.12,0.95,9.91,11
1,6.42,0.99,9.19,8
1,3.58,0.96,6.63,7
1,4.48,0.99,8.15,7
0,4.78,0.99,8.70,4
0,5.67,0.99,9.41,6
0,3.73,0.99,8.65,10
0,2.69,0.98,10.65,5
0,3.13,0.99,10.94,4
0,5.22,0.98,8.76,4
0,4.78,0.99,9.38,6
0,4.18,0.99,11.27,8
1,5.67,0.99,9.12,15
1,4.63,0.99,10.55,10
1,5.97,0.99,10.72,9
1,7.31,0.99,11.89,11
1,5.52,0.99,11.76,10
1,10.30,0.98,9.71,14
1,4.93,0.99,11.70,6
1,14.33,0.97,9.81,24
0,4.78,0.99,9.12,5
0,4.03,0.99,8.45,6
0,4.33,0.99,11.51,8
0,4.78,0.97,10.37,7
0,5.82,0.98,11.12,5
0,4.33,0.97,10.94,7
0,4.33,0.99,9.63,15
1,10.60,0.99,8.81,23
1,10.15,0.99,8.80,14
1,4.33,0.96,8.00,10
1,12.54,0.99,8.41,22
1,3.88,0.98,11.74,5
1,3.28,0.98,9.54,6
1,5.37,0.95,9.11,8
0,1.49,0.96,12.75,2
0,3.28,0.98,10.90,5
0,3.28,0.98,11.74,2
0,2.99,0.96,12.38,5
1,2.24,0.97,10.33,6
1,5.52,0.92,11.48,9
1,1.04,0.94,12.93,3
1,4.48,0.98,9.09,5
0,4.18,0.99,10.43,3
0,4.93,0.99,9.08,5
0,2.69,0.98,7.78,3
1,8.96,0.99,9.43,20
1,1.34,0.95,9.66,4
1,0.60,0.89,13.31,1
0,2.84,0.96,10.07,6
0,3.73,0.99,11.34,9
0,3.13,0.97,12.33,9
0,4.48,0.97,12.18,10
1,2.39,0.97,5.22,6
1,2.24,0.96,8.71,3
1,1.19,0.90,9.87,4
1,4.33,0.96,8.00,10
1,3.13,0.97,7.55,5
1,3.13,0.97,9.25,6
1,4.93,0.99,10.08,8
1,5.07,0.99,11.33,10
0,2.69,0.98,8.17,6
0,7.46,0.98,8.67,15
0,4.18,0.98,7.90,11
0,3.28,0.98,11.26,11
1,8.21,0.99,10.59,15
1,2.54,0.98,11.57,4
1,4.18,0.98,8.83,6
1,2.24,0.97,9.90,5
0,2.09,0.97,9.97,6
0,5.22,0.94,10.37,9
0,2.54,0.96,13.85,7
0,3.88,0.90,11.21,5
1,4.18,0.98,9.66,3
1,5.67,0.98,11.04,14
1,4.03,0.98,9.40,7
1,7.91,0.98,7.06,10
0,4.63,0.98,11.25,9
0,3.13,0.98,10.26,5
0,4.78,0.98,11.84,9
0,3.43,0.98,9.48,4
1,7.46,0.98,8.67,15
0,4.33,0.96,8.00,10
1,5.07,0.99,11.33,10
0,8.21,0.99,10.59,15
0,2.69,0.98,10.65,5
1,4.48,0.98,9.09,5
0,10.60,0.99,8.81,23
0,6.12,0.97,9.98,8
1,2.24,0.97,10.84,4
1,4.93,0.99,9.08,5
0,10.60,0.99,8.81,23
1,4.93,0.99,8.08,11
1,4.33,0.96,8.00,10
0,5.67,0.99,9.41,6
1,5.07,0.99,11.33,10
0,4.93,0.99,10.08,8
1,12.54,0.99,8.41,22
1,2.84,0.96,10.07,6
1,3.28,0.98,9.54,6
1,2.24,0.97,10.84,4
1,2.84,0.96,10.07,6
0,3.13,0.97,7.55,5
0,2.24,0.96,8.71,3
1,3.58,0.98,8.32,7
0,6.87,0.99,10.39,8
1,4.78,0.99,8.70,4
0,8.96,0.99,9.43,20
0,8.21,0.99,10.59,15
0,2.24,0.97,9.90,5
1,5.22,0.97,9.70,11
0,1.49,0.96,12.75,2
1,5.22,0.94,10.37,9
0,3.73,0.98,7.96,5
0,7.91,0.98,7.06,10
1,4.48,0.97,12.18,10
1,10.15,0.99,8.80,14
0,14.48,0.99,7.04,20
1,4.33,0.96,8.00,10
0,6.57,0.99,10.84,8
1,2.84,0.97,10.28,4
0,5.97,0.99,10.72,9
0,2.84,0.96,10.07,6
0,5.97,0.99,10.72,9
1,6.12,0.95,9.91,11
1,5.37,0.99,7.17,9
1,6.12,0.97,9.98,8
0,3.88,0.98,11.74,5
1,2.84,0.96,10.07,6
0,4.48,0.99,8.15,7
1,5.82,0.98,11.12,5
0,3.28,0.98,11.74,2
0,3.58,0.96,6.63,7
0,2.24,0.96,8.71,3
1,5.67,0.99,9.12,15
1,4.48,0.98,9.09,5
0,4.33,0.98,7.41,7
0,14.33,0.97,9.81,24
0,15.82,0.98,9.66,29
0,3.73,0.99,8.65,10
0,5.82,0.98,11.12,5
0,2.54,0.98,11.57,4
1,3.28,0.98,11.74,2
0,4.18,0.99,10.43,3
0,8.21,0.99,10.59,15
0,6.12,0.97,9.98,8
0,2.54,0.98,11.57,4
0,2.84,0.97,10.28,4
0,4.18,0.99,8.91,6
1,2.54,0.96,13.85,7
1,3.28,0.98,11.74,2
0,3.13,0.97,12.33,9
0,5.07,0.99,11.33,10
0,2.69,0.98,7.78,3
1,5.52,0.92,11.48,9
0,6.87,0.99,10.39,8
1,3.43,0.98,9.48,4
0,6.42,0.99,9.19,8
0,6.12,0.95,9.91,11
0,5.82,0.98,11.12,5
1,3.58,0.99,8.94,8
0,4.93,0.99,8.08,11
0,5.67,0.98,11.04,14
1,4.33,0.96,8.00,10
0,8.96,0.99,9.43,20
0,5.52,0.99,11.76,10
0,5.67,0.99,9.41,6
0,3.13,0.97,12.33,9
0,3.13,0.97,9.25,6
1,3.28,0.98,11.74,2
0,4.93,0.99,9.08,5
1,3.73,0.99,8.65,10
1,3.28,0.98,9.54,6
1,4.33,0.97,10.94,7
0,4.78,0.99,8.70,4
0,10.60,0.99,8.81,23
0,5.67,0.99,9.12,15
0,4.78,0.98,8.13,10
0,2.84,0.97,10.28,4
1,2.24,0.97,10.84,4
0,4.48,0.98,9.09,5
